Compiled with OpenMP and running with 8 threads.
imagefile = dummy_nanowire3.png 
P = 3 
finaltime = 1e-08 
timestep = 1e-12 
sample_width  = 1.6e-07 
sample_height = 1.6e-07 
sample_depth  = 3e-08 
xdim = 32 
ydim = 32 
zdim = 3 
demag = 1 
exchange = 1 
external = 0 
use_fmm = 0 
use_gpu = 1 
sim_name = sim_square32x32x3_randomIC_fixedstep_1e-12 
SEED = 2010 
IC = 2 
(xdim, ydim, zdim) = (32, 32, 3)
(sample_width, sample_height, sample_depth) = (1.6e-07, 1.6e-07, 3e-08)
(dx, dy, dz) = (5e-09, 5e-09, 1e-08)
Initial condition: Random
If you want to see the initial state of M, now is the time! 

using device 0
launching kernel with 3072 blocks and 1024 threads...
1, 1e-12, 1e-12, 2988.98, 0.0229037, 0.0163974, 0.000586859, 1, 4.1998 
If you want to see the initial state of M, now is the time! 

46, 4.6e-11, 1e-12, 659.855, 0.175032, 0.0524358, -0.0510416, 1.00001, 0.768995 
47, 4.7e-11, 1e-12, 657.74, 0.175912, 0.0549318, -0.049351, 1.00001, 0.955905 
48, 4.8e-11, 1e-12, 655.601, 0.176931, 0.0574141, -0.0474821, 1.00001, 1.13132 
49, 4.9e-11, 1e-12, 653.408, 0.178092, 0.0598797, -0.0454218, 1.00001, 1.23289 
50, 5e-11, 1e-12, 651.189, 0.179376, 0.0623225, -0.0431747, 1.00001, 1.19341 
51, 5.1e-11, 1e-12, 649.02, 0.180748, 0.0647378, -0.0407647, 1.00001, 1.00093 
52, 5.2e-11, 1e-12, 646.98, 0.182184, 0.0671257, -0.0382221, 1.00001, 0.81056 
53, 5.3e-11, 1e-12, 645.099, 0.183666, 0.069487, -0.03557, 1.00001, 0.653162 
54, 5.4e-11, 1e-12, 643.374, 0.185191, 0.0718213, -0.0328193, 1.00001, 0.513176 
55, 5.5e-11, 1e-12, 641.783, 0.186759, 0.074126, -0.0299735, 1.00001, 0.392995 
56, 5.6e-11, 1e-12, 640.303, 0.188368, 0.0763979, -0.0270346, 1.00001, 0.343592 
57, 5.7e-11, 1e-12, 638.917, 0.19002, 0.0786348, -0.0240056, 1.00001, 0.345246 
58, 5.8e-11, 1e-12, 637.611, 0.191716, 0.0808343, -0.0208912, 1.00001, 0.357405 
59, 5.9e-11, 1e-12, 636.371, 0.193454, 0.0829947, -0.0176978, 1.00001, 0.360152 
60, 6e-11, 1e-12, 635.191, 0.195235, 0.0851148, -0.0144328, 1.00001, 0.353984 
61, 6.1e-11, 1e-12, 634.063, 0.197058, 0.0871932, -0.0111045, 1.00001, 0.341663 
62, 6.2e-11, 1e-12, 632.982, 0.198921, 0.0892288, -0.00772237, 1.00001, 0.326625 
63, 6.3e-11, 1e-12, 631.944, 0.200823, 0.0912208, -0.00429539, 1.00001, 0.311466 
64, 6.4e-11, 1e-12, 630.944, 0.202764, 0.0931681, -0.00083279, 1.00001, 0.297397 
65, 6.5e-11, 1e-12, 629.979, 0.204741, 0.0950696, 0.0026565, 1.00001, 0.284579 
66, 6.6e-11, 1e-12, 629.048, 0.206755, 0.096925, 0.00616373, 1.00001, 0.272728 
67, 6.7e-11, 1e-12, 628.146, 0.208803, 0.0987335, 0.00968093, 1.00001, 0.261528 
68, 6.8e-11, 1e-12, 627.272, 0.210885, 0.100494, 0.0132005, 1.00001, 0.251111 
69, 6.9e-11, 1e-12, 626.423, 0.213001, 0.102207, 0.0167153, 1.00001, 0.242645 
70, 7e-11, 1e-12, 625.599, 0.215149, 0.103872, 0.0202192, 1.00001, 0.234465 
71, 7.1e-11, 1e-12, 624.796, 0.21733, 0.105488, 0.0237062, 1.00001, 0.226452 
72, 7.2e-11, 1e-12, 624.013, 0.219542, 0.107055, 0.0271711, 1.00001, 0.218547 
73, 7.3e-11, 1e-12, 623.249, 0.221787, 0.108574, 0.0306094, 1.00001, 0.210719 
74, 7.4e-11, 1e-12, 622.501, 0.224062, 0.110045, 0.0340171, 1.00001, 0.207585 
75, 7.5e-11, 1e-12, 621.769, 0.226369, 0.111467, 0.0373909, 1.00001, 0.206482 
76, 7.59999e-11, 1e-12, 621.052, 0.228706, 0.11284, 0.0407277, 1.00001, 0.20497 
77, 7.69999e-11, 1e-12, 620.348, 0.231073, 0.114166, 0.0440253, 1.00001, 0.203035 
78, 7.79999e-11, 1e-12, 619.658, 0.233471, 0.115443, 0.0472817, 1.00001, 0.20068 
79, 7.89999e-11, 1e-12, 618.977, 0.235898, 0.116672, 0.0504953, 1.00001, 0.197927 
80, 7.99999e-11, 1e-12, 618.308, 0.238355, 0.117853, 0.0536651, 1.00001, 0.194814 
81, 8.09999e-11, 1e-12, 617.648, 0.24084, 0.118986, 0.0567901, 1.00001, 0.191393 
82, 8.19999e-11, 1e-12, 616.998, 0.243354, 0.120071, 0.0598699, 1.00001, 0.187729 
83, 8.29999e-11, 1e-12, 616.356, 0.245895, 0.121109, 0.062904, 1.00001, 0.183889 
84, 8.39999e-11, 1e-12, 615.723, 0.248464, 0.122099, 0.0658924, 1.00001, 0.183104 
85, 8.49999e-11, 1e-12, 615.096, 0.251059, 0.123041, 0.0688351, 1.00001, 0.182561 
86, 8.59999e-11, 1e-12, 614.478, 0.253679, 0.123936, 0.0717326, 1.00001, 0.181791 
87, 8.69999e-11, 1e-12, 613.867, 0.256324, 0.124783, 0.0745853, 1.00001, 0.180824 
88, 8.79999e-11, 1e-12, 613.262, 0.258993, 0.125583, 0.0773936, 1.00001, 0.179685 
89, 8.89999e-11, 1e-12, 612.664, 0.261684, 0.126335, 0.0801583, 1.00001, 0.17839 
90, 8.99999e-11, 1e-12, 612.072, 0.264396, 0.127039, 0.0828802, 1.00001, 0.176952 
91, 9.09999e-11, 1e-12, 611.487, 0.267127, 0.127696, 0.08556, 1.00001, 0.17538 
92, 9.19999e-11, 1e-12, 610.906, 0.269878, 0.128304, 0.0881988, 1.00001, 0.173678 
93, 9.29999e-11, 1e-12, 610.333, 0.272645, 0.128865, 0.0907975, 1.00001, 0.17185 
94, 9.39999e-11, 1e-12, 609.764, 0.275428, 0.129377, 0.0933571, 1.00001, 0.1699 
95, 9.49999e-11, 1e-12, 609.202, 0.278224, 0.129841, 0.0958785, 1.00001, 0.16783 
96, 9.59999e-11, 1e-12, 608.643, 0.281033, 0.130255, 0.0983628, 1.00001, 0.165643 
97, 9.69999e-11, 1e-12, 608.091, 0.283852, 0.130621, 0.100811, 1.00001, 0.163343 
98, 9.79999e-11, 1e-12, 607.543, 0.28668, 0.130936, 0.103224, 1.00001, 0.160936 
99, 9.89999e-11, 1e-12, 607, 0.289516, 0.131201, 0.105602, 1.00001, 0.15869 
100, 9.99999e-11, 1e-12, 606.46, 0.292356, 0.131415, 0.107947, 1.00001, 0.157225 
101, 1.01e-10, 1e-12, 605.925, 0.2952, 0.131577, 0.110259, 1.00001, 0.157492 
102, 1.02e-10, 1e-12, 605.394, 0.298046, 0.131687, 0.112539, 1.00001, 0.157597 
103, 1.03e-10, 1e-12, 604.866, 0.300891, 0.131743, 0.114787, 1.00001, 0.157542 
104, 1.04e-10, 1e-12, 604.342, 0.303734, 0.131745, 0.117003, 1.00001, 0.157326 
105, 1.05e-10, 1e-12, 603.82, 0.306573, 0.131691, 0.119189, 1.00001, 0.156952 
106, 1.06e-10, 1e-12, 603.301, 0.309405, 0.131581, 0.121343, 1.00001, 0.156418 
107, 1.07e-10, 1e-12, 602.784, 0.31223, 0.131413, 0.123465, 1.00001, 0.155726 
108, 1.08e-10, 1e-12, 602.269, 0.315045, 0.131187, 0.125557, 1.00001, 0.154876 
109, 1.09e-10, 1e-12, 601.756, 0.317847, 0.130901, 0.127616, 1.00001, 0.153868 
110, 1.1e-10, 1e-12, 601.243, 0.320635, 0.130554, 0.129642, 1.00001, 0.152703 
111, 1.11e-10, 1e-12, 600.732, 0.323406, 0.130145, 0.131635, 1.00001, 0.151829 
